run_id,is_correct,response,rt,task_part,time_elapsed,trial_index,Honestly,Complexity,recorded_at
158,1,2,332634,decision,433571,3,Honest,Complex,2026-06-12 20:42:44
137,1,2,275009,decision,1936602,3,Honest,Complex,2026-06-11 14:40:39
165,0,3,266566,decision,267557,1,Dishonest,Complex,2026-06-13 18:06:08
30,0,0,200735,decision,261058,3,Honest,Complex,2026-06-08 23:12:19
30,0,2,200222,decision,466742,5,Dishonest,Simple,2026-06-08 23:12:19
74,0,1,159798,decision,225470,3,Honest,Complex,2026-06-10 00:18:39
80,1,1,155403,decision,345442,5,Dishonest,Complex,2026-06-10 06:08:18
55,1,2,152199,decision,194758,3,Dishonest,Complex,2026-06-09 23:00:52
1,0,0,151575,decision,228258,3,Honest,Complex,2026-06-07 22:11:36
188,0,0,145949,decision,215785,3,Honest,Complex,2026-06-15 21:58:18
185,0,0,145630,decision,241291,3,Dishonest,Complex,2026-06-14 22:29:24
163,1,2,140307,decision,215759,3,Honest,Simple,2026-06-13 17:57:20
8,0,0,123371,decision,193853,3,Honest,Complex,2026-06-08 20:25:25
162,0,0,114282,decision,217436,3,Dishonest,Simple,2026-06-13 01:46:05
114,0,2,109156,decision,260378,5,Dishonest,Complex,2026-06-11 00:23:23
74,1,1,108730,decision,337883,5,Dishonest,Complex,2026-06-10 00:18:39
59,0,0,105607,decision,167910,3,Dishonest,Simple,2026-06-09 23:07:01
59,0,0,102450,decision,272951,5,Honest,Simple,2026-06-09 23:07:01
64,0,1,101084,decision,102829,1,Honest,Complex,2026-06-09 23:18:37
99,0,2,99546,decision,239839,5,Dishonest,Complex,2026-06-10 16:37:01
80,0,0,99339,decision,176836,3,Dishonest,Complex,2026-06-10 06:08:18
99,1,2,98154,decision,136214,3,Honest,Simple,2026-06-10 16:37:01
162,1,2,96456,decision,99500,1,Honest,Complex,2026-06-13 01:46:05
188,0,0,94605,decision,325805,5,Honest,Complex,2026-06-15 21:58:18
185,1,1,93441,decision,336560,5,Honest,Simple,2026-06-14 22:29:24
154,1,2,92735,decision,162812,3,Honest,Complex,2026-06-12 18:57:40
11,0,0,92718,decision,153095,3,Dishonest,Complex,2026-06-08 21:03:40
114,1,2,86031,decision,146714,3,Honest,Simple,2026-06-11 00:23:23
72,0,1,83645,decision,115796,3,Dishonest,Simple,2026-06-09 23:37:29
